specObjID,ra,dec,redshift,z_err,distance,g,r,w1_mag,w2_mag
513431280285673472,42.066401,-8.2879189,0.004562232,5.54902E-06,653.909345202183,16.30633,16.59886,15.01789,14.43887
451624431106680832,25.747111,0.36013339,0.01079426,6.071052E-06,653.948679925945,17.78157,17.63461,15.20115,15.67525
752181988147881984,34.080852,-9.4701107,0.006713856,4.101403E-05,655.607060343225,18.08443,17.82428,15.12815,15.25622
514664107547322368,43.4446,-7.3955478,0.004494373,4.469579E-06,656.131003208476,17.64824,17.97184,16.67472,16.3508
513427157117069312,42.296554,-8.4746519,0.004800091,4.316918E-06,670.488177238358,17.93854,17.76716,15.5863,15.79726
749999182470735872,30.695251,-8.4575516,0.007501745,1.397348E-05,677.12270599917,17.40929,16.90084,15.65371,15.77
2634694355327150080,47.107848,5.469688,0.0001081198,6.940009,679.318444494455,19.92544,19.2481,17.11627,17.09454
751024477298518016,32.565533,-9.7044012,0.006840801,3.950712E-06,695.398007418893,19.8049,19.58301,15.03194,15.24931
751029974856656896,32.377092,-9.6749568,0.006824201,6.786992E-06,697.753067068939,15.11944,14.74273,11.09875,11.04436
904260390899181568,48.25662,0.17783687,0.00772989,7.307163E-06,700.753283960906,18.81953,18.63141,16.65895,15.75863
904255168772597760,48.25662,0.17783687,0.007737366,1.172333E-05,700.753283960906,18.81953,18.63141,16.65895,15.75863
799553072928942080,48.25662,0.17783687,0.007729535,7.245955E-06,700.753283960906,18.81953,18.63141,16.65895,15.75863
904255169124919296,48.25662,0.17783687,0.007736175,5.595759E-06,700.753283960906,18.81953,18.63141,16.65895,15.75863
751026951199680512,32.271465,-9.7003783,0.01277675,5.849612E-06,701.483577001166,16.7656,16.63316,14.34144,14.17893
751035472414795776,32.330405,-9.8674366,0.01283351,4.109089E-05,709.511354389736,19.7825,16.88087,14.63401,14.85724
751002212188055552,32.840441,-10.121,0.01282886,8.216037E-06,713.4910859268,15.88027,15.56781,13.20533,13.1392
1213720968552278016,24.827565,-0.458416,0.01151452,1.060434E-05,714.019949529702,18.58977,18.29179,16.02417,15.88157
1704633948610521088,48.482048,-0.176481,0.009414659,2.420423E-05,716.314060631091,17.63511,17.34885,15.00162,14.91504
463889209829124096,48.482168,-0.17636477,0.009419979,3.876209E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
463892789600479232,48.482168,-0.17636477,0.009477655,2.96901E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
463890860187084800,48.482168,-0.17636477,0.009505623,3.842491E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
463892789734696960,48.482168,-0.17636477,0.00947129,2.569431E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
463890310347384832,48.482168,-0.17636477,0.009433736,2.887216E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
1327451702449694720,48.482168,-0.17636477,0.0095147,1.831096E-05,716.320430554045,17.63511,17.34885,15.00162,14.91504
751059111914792960,31.315752,-9.5629595,0.006526319,4.90921E-06,717.17399049927,17.52525,17.32257,15.44319,15.47285
751032448757819392,32.152925,-9.9376903,0.01342866,2.25788E-05,717.31109256365,17.62908,17.04877,14.46074,14.66336
751034647781074944,32.410506,-10.146272,0.01283949,5.826289E-06,723.439105063656,13.47485,12.89324,8.978393,8.648243
751031624124098560,32.336863,-10.133077,0.0128568,7.031448E-06,724.238530006873,13.54598,12.51512,9.193331,9.205279
749865866685868032,31.252594,-9.6930151,0.006479651,5.223736E-06,725.824521592551,17.21418,17.04885,15.11525,15.30712
514594838314772480,43.369325,-8.9848257,0.004739208,1.750452E-05,730.369482614881,17.66455,17.21264,14.79407,16.10784
749864217418426368,31.200588,-9.983093,0.006268915,7.515639E-06,742.789287216851,17.1115,16.88155,15.01915,15.19929
450379234725095424,24.283655,-0.56493387,0.009716033,1.547341E-05,747.22186330395,17.06261,16.69607,14.60079,14.33989
749872738633541632,30.819279,-9.890661,0.01296507,6.431258E-06,748.082662866382,15.65996,15.2214,12.44875,12.37979
515786709389043712,46.08713,-6.9963299,0.007202946,3.494395E-05,748.957609656527,15.70965,15.26698,12.86848,13.02533
749860644005636096,31.145107,-10.10847,0.006396601,4.321788E-06,750.986774856582,15.52113,15.13861,12.74131,12.74292
749872463755634688,31.051874,-10.078476,0.006415432,4.165994E-06,751.816213115845,19.84028,19.72905,17.07923,16.30098
749873563267262464,31.106689,-10.159734,0.006342571,4.72161E-06,754.747616637085,17.10266,16.99799,15.12579,15.18243
748874657272195072,28.817758,-8.8542763,0.01317774,6.76748E-06,760.622841362597,17.01476,16.524,14.1614,14.06459
480830485476435968,30.008211,12.538321,0.01172345,9.597647E-06,787.742785982521,18.089,17.50014,15.12984,14.98953
481971503382947840,31.875556,13.447425,1.003002E-05,7.657492E-06,789.18711794661,16.51266,15.70148,12.69088,12.6405
1691151475742369792,23.570532,-1.127502,0.01507175,1.920264E-05,794.735294867295,18.92914,18.59192,16.06582,16.27163
1328604821275568128,49.953346,-0.22589381,4.480784E-05,1.930642E-05,804.394821256137,18.30144,17.20301,13.67687,13.53999
1328602622252312576,49.970813,-0.22330284,8.705864E-05,2.681155E-05,805.421052769903,16.20729,15.76936,14.16922,14.25318
482018782382942208,33.013477,14.104176,0.0127794,1.077428E-05,805.527779682534,16.21907,15.68305,13.07827,13.41237
748786971219879936,27.986679,-9.3406081,0.01321016,1.183324E-05,814.279705420968,18.19059,17.85305,15.64311,15.45473
748772952446625792,28.255574,-9.6392938,0.005488052,8.226967E-06,818.229347346971,17.64679,17.42354,15.40928,15.26902
906427808597698560,50.275545,-0.1809153,9.391644E-06,1.221922E-05,823.354812394115,19.31567,18.53082,15.23546,14.94116
905375570601207808,50.376416,0.23166185,4.68828E-05,0.0001693004,827.321519719651,19.44863,18.76343,15.56516,-9999
515668511889057792,47.118707,-7.8191405,0.01227635,6.495388E-06,827.699129404736,16.36514,15.93765,13.29397,13.40751
748810060964063232,27.476539,-9.2281613,0.006400369,3.548231E-05,828.876005626457,16.30818,15.9704,13.82557,13.66352
481988545813178368,32.104096,14.349565,0.01477035,7.958995E-06,835.402207002599,13.6694,12.82349,9.317051,9.238173
1215013444101629952,22.638603,0.91771,0.008252337,8.742129E-06,838.7436142065,18.42622,18.17478,16.14949,16.13077
747750681611364352,26.604377,-8.6366489,0.01306581,6.575533E-06,839.101672020637,14.14033,13.67208,10.77316,10.67359
748795767312902144,27.766713,-9.702294,0.006214456,1.438551E-05,839.29514580594,12.49746,11.82546,11.27509,11.07425
515672909935568896,47.412821,-7.8461697,0.01248552,1.686717E-05,842.166481784859,14.93698,14.34241,13.57648,13.65623
516860932165494784,47.412821,-7.8461697,0.01248388,1.506448E-05,842.166481784859,14.93698,14.34241,13.57648,13.65623
1328589702990686208,50.601067,-0.16935262,9.11844E-06,4.248128E-05,842.727212138619,18.68483,17.64341,14.22378,14.10696
747699004564858880,26.149042,-8.2516831,0.01314817,8.391515E-06,843.245214556332,15.63372,15.1732,12.56979,12.49003
516860657287587840,47.396703,-7.957146,0.01271308,5.41911E-06,845.677825879543,17.23528,16.70192,14.10461,14.06611
1763264032980101120,50.756744,0.355454,1.580001E-05,4.442257E-05,849.624812049076,19.94518,19.17177,15.94532,16.46308
8849777344732485632,22.514825,2.8522036,0.007123044,9.342743E-06,851.70044722468,19.71246,20.07062,17.1925,16.58288
480831859865970688,29.554385,13.553418,0.01508307,8.563246E-06,853.722682515796,17.51553,17.07787,14.71326,14.6674
516847188270147584,47.823935,-8.080012,0.01327064,6.609252E-06,869.959043553324,16.42193,15.97904,13.4292,13.3579
747603072175335424,27.726872,-10.369529,0.006041894,1.462504E-05,871.98663706904,17.65512,17.25294,14.6072,13.96767
747613242657892352,27.293124,-10.061234,0.006647565,6.157672E-06,873.76304347384,14.22591,13.73827,10.82226,10.78607
516958513822459904,49.261644,-6.2056668,0.006991991,1.093871E-05,876.890432048587,16.17044,15.68426,13.29097,13.37266
480907451290380288,30.935845,14.709317,0.01216695,5.465172E-06,879.942185680239,13.9713,13.11528,10.06666,10.08462
480904427633403904,30.957469,14.739165,0.01209331,5.44312E-06,881.101898995745,13.93723,12.93564,9.602285,9.619828
516847738025961472,48.027882,-8.2325957,0.01364556,5.597647E-06,885.13346557576,16.44245,15.87482,12.90746,12.78209
516939822124787712,48.910925,-7.0788204,0.0131678,5.570303E-06,886.579207975689,15.67959,15.13191,12.16951,12.09884
516954115775948800,49.277771,-6.5021555,0.01337015,1.653587E-05,886.702045030858,14.94934,14.22851,11.28136,11.28986
747624237774170112,27.046809,-10.187734,0.006756872,9.894063E-06,888.964968327144,17.35036,17.02645,14.98169,15.01641
747609669245102080,27.295195,-10.426648,0.00582317,8.379444E-06,890.563311609317,12.85672,11.82622,10.42448,10.41767
